Name,API pool id,Protocol,Protocol TVL ($m),Chain,Comparable Pool?,Pool TVL ($m),1Y Avg. TVL ($m),TVL % Change M/M,TVL % Change Q/Q,TVL % Change (7d),APY % Change (7d),APY % Change (30d),Current APY (%),30d avg. APY (%),Base APY (%),Reward APY (%),1Y Avg. APY (%),ETH TVL % Change (7d),ETH TVL % Change M/M,ETH TVL % Change Q/Q
DAI,7be3388a-0591-4281-a6f3-eff3217693fa,Yearn Finance,$341m,Ethereum,No,$20m,$39m,(3.11%),(16.33%),(1.56%),(15.55%),(45.07%),3.85%,6.18%,3.85%,0.00%,3.48%,6.32%,38.76%,71.33%
MIM-3CRV,8a20c472-142c-4442-b724-40f2183c073e,Convex Finance,"$1,728m",Ethereum,Yes,$17m,$68m,(20.76%),(26.10%),(0.10%),(3.71%),40.19%,14.52%,11.97%,0.28%,14.24%,9.69%,6.32%,38.76%,71.33%
USDC,aa70268e-4b52-42bf-a116-608b370f9501,AAVE V3,"$6,043m",Ethereum,No,$65m,$36m,18.09%,73.12%,4.04%,(7.21%),(31.30%),6.74%,6.64%,6.74%,0.00%,4.25%,6.32%,38.76%,71.33%
USDC,325ad2d6-70b1-48d7-a557-c2c99a036f87,Morpho Aave,$413m,Ethereum,No,$40m,$50m,(11.53%),8.47%,(2.79%),17.34%,83.64%,13.76%,7.67%,13.76%,0.00%,4.29%,6.32%,38.76%,71.33%
DAI,405d8dad-5c99-4c91-90d3-82813ade1ff1,AAVE V2,"$2,337m",Ethereum,No,$13m,$57m,3.63%,(27.86%),6.27%,(26.64%),11.36%,7.00%,4.95%,7.00%,0.00%,2.78%,6.32%,38.76%,71.33%
USDC,72124487-ba91-46d8-907e-31b8eca90af3,Yearn Finance,$341m,Ethereum,No,$15m,$29m,(1.65%),(23.13%),0.33%,(15.63%),(20.28%),5.15%,5.99%,5.15%,0.00%,2.69%,6.32%,38.76%,71.33%
DAI,15c3e528-2825-4ca4-804b-406e8b8e2ebd,Gains Network,$43m,Arbitrum,No,$32m,$30m,2.03%,45.58%,2.12%,(11.62%),19.54%,17.76%,16.32%,17.76%,0.00%,10.59%,6.32%,38.76%,71.33%
USDC,7da72d09-56ca-4ec5-a45f-59114353e487,Compound V3,"$1,422m",Ethereum,No,$22m,$41m,(54.91%),(40.36%),(50.84%),102.55%,242.66%,12.66%,9.29%,11.46%,1.20%,4.09%,6.32%,38.76%,71.33%
ADAI-AUSDC-AUSDT,e3f861c0-c2b9-4b50-b799-a036a3f11da1,Curve DEX,"$2,092m",Ethereum,Yes,$20m,$22m,0.70%,(0.65%),(0.15%),(20.65%),(7.98%),7.78%,6.33%,7.78%,0.00%,3.29%,6.32%,38.76%,71.33%
USDC,2b7f6b6d-39fd-4bbe-ab37-d0e56615dde0,Across,$106m,Ethereum,No,$16m,$22m,(40.92%),(13.85%),(1.82%),12.89%,70.47%,15.93%,11.38%,1.02%,14.91%,7.46%,6.32%,38.76%,71.33%
DAI,45a43ff6-9320-4e40-9812-ba91d6f39307,UwU Lend,$40m,Ethereum,No,$6m,$17m,3304.16%,34.33%,15.52%,(13.98%),24.71%,14.48%,16.39%,8.16%,6.31%,7.99%,6.32%,38.76%,71.33%
OUSD,529258ee-9b27-4fcf-a32c-b82abb3fda68,Origin Dollar,$13m,Ethereum,No,$13m,$30m,(6.83%),(11.38%),0.22%,2.92%,4.15%,6.33%,6.34%,0.00%,0.00%,5.10%,6.32%,38.76%,71.33%
DOLA-FRAXBP,d05cb04d-f1e5-451d-95a2-6a3a9da001ad,Convex Finance,"$1,728m",Ethereum,Yes,$9m,$20m,(4.94%),(47.96%),(7.50%),27.27%,9.62%,19.79%,15.89%,0.05%,19.74%,13.92%,6.32%,38.76%,71.33%
USDC-SUSD,d382c9a6-430b-4aaa-bf9a-2964a904d8eb,Velodrome V2,$122m,Optimism,No,$8m,$12m,2.23%,(9.48%),0.24%,(2.27%),25.03%,13.28%,11.41%,0.00%,13.28%,6.33%,6.32%,38.76%,71.33%
DOLA-FRAXBP,3a745337-3f04-409d-9627-8391e3c7494d,Curve DEX,"$2,092m",Ethereum,Yes,$9m,$20m,2.67%,(43.86%),(0.18%),4.20%,3.55%,12.34%,10.37%,0.05%,12.29%,8.49%,6.32%,38.76%,71.33%
DAI,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,AAVE V3,"$6,043m",Ethereum,No,$13m,$10m,22.07%,59.71%,(10.39%),72.41%,(29.35%),4.83%,5.90%,4.83%,0.00%,3.98%,6.32%,38.76%,71.33%
USDC-DOLA,e0df9b7b-1ee6-4710-a136-b79ba79683a1,Velodrome V2,$122m,Optimism,No,$2m,$9m,(49.35%),(57.11%),(3.17%),1.18%,105.28%,30.09%,28.15%,0.00%,30.09%,16.87%,6.32%,38.76%,71.33%
NUSDC,7131b94d-a801-446c-9968-8fa7f68b3b87,Notional V2,$19m,Ethereum,No,$4m,$16m,(24.44%),(51.95%),(17.16%),25.42%,68.86%,20.22%,13.58%,2.26%,17.96%,8.46%,6.32%,38.76%,71.33%
USDT,1343a280-7812-4bc3-8f98-d1c37e11d271,Morpho Aave,$413m,Ethereum,No,$21m,$12m,103.58%,141.15%,(1.43%),(15.72%),(46.31%),9.38%,9.13%,9.38%,0.00%,5.40%,6.32%,38.76%,71.33%
EUSD-FRAXBP,c04005c9-7e34-41a6-91c4-295834ed8ac0,Convex Finance,"$1,728m",Ethereum,Yes,$5m,$10m,(12.85%),(9.46%),19.52%,(19.88%),13.91%,11.35%,12.61%,0.08%,11.27%,11.79%,6.32%,38.76%,71.33%
EUSD-FRAXBP,817329d2-07cb-4cbd-82ac-eb9bc0add450,Curve DEX,"$2,092m",Ethereum,Yes,$5m,$9m,(12.52%),(30.28%),(0.45%),(21.32%),10.74%,7.41%,7.76%,0.08%,7.33%,4.41%,6.32%,38.76%,71.33%
DAI,b8bcdf8e-96ed-40ca-a7aa-aa048b9874e5,Morpho Aave,$413m,Ethereum,No,$14m,$11m,25.03%,43.63%,0.55%,(24.09%),16.84%,8.81%,6.14%,8.81%,0.00%,3.87%,6.32%,38.76%,71.33%
DOLA-USDC,b25304a4-8d2d-4a9c-a2c9-1551ddc7e3e3,Aura,$575m,Arbitrum,No,$2m,$3m,(11.23%),(30.61%),(0.67%),5.06%,(3.87%),24.43%,25.02%,0.00%,24.43%,22.03%,6.32%,38.76%,71.33%
GHO-USDC-USDT,ace50586-b186-49e7-8ac2-37e5cb5b47ef,Aura,$575m,Ethereum,No,$6m,$8m,5.24%,(21.64%),5.81%,15.18%,171.18%,19.99%,12.90%,0.01%,19.97%,10.03%,6.32%,38.76%,71.33%
DOLA-USDC,79727451-50e8-4359-a1da-d96e27c1a5db,Balancer V2,"$1,073m",Ethereum,No,$2m,$6m,(21.16%),(59.31%),0.32%,(60.91%),(9.48%),0.12%,0.21%,0.12%,0.00%,7.20%,6.32%,38.76%,71.33%
USDT,6303c3d4-4b56-49ff-9be0-83d4bcdd2574,Morpho Compound,$29m,Ethereum,No,$6m,$6m,(6.83%),(10.90%),(0.11%),(42.46%),(27.01%),6.71%,8.67%,6.71%,0.00%,4.12%,6.32%,38.76%,71.33%
